scenario,latencyAvg,rps,latencyMax,latencyStdev,totalRequests,latency99,debit,timeout,read,write,connect,name,cpu_0,dram_0,cpu,dram,level,display_name,classification,database,language,os,framework,webserver,orm,platform,approach,status,5xx
fortune,0.00020088,,0.00786,2.2769999999999997e-05,3814213.0,0.00025,247.03MB,,,,,actix-core,2111.068008422852,288.3396530151367,4004.1775512695312,568.9995193481445,64.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
fortune,0.00027826999999999995,,0.00825,6.559e-05,8332058.0,0.00044899999999999996,539.63MB,,,,,actix-core,2445.663848876953,300.5133819580078,4648.247131347656,594.7793731689453,128.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
fortune,0.00040098,,0.014230000000000001,0.00017523,11831508.0,0.0010500000000000002,766.21MB,,,,,actix-core,2547.6185150146484,319.3468017578125,4826.362335205078,635.3534355163574,256.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
fortune,0.00075923,,0.02888,0.00088,13848693.0,0.004200000000000001,0.88GB,,,,,actix-core,2563.136367797852,320.8089942932129,4864.9677734375,647.5641899108887,512.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,actix-core,493.834716796875,115.10894775390624,866.2429351806641,225.65434646606445,0.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.00016916999999999998,,0.0050999999999999995,2.547e-05,1797644.0,0.00020899999999999998,13.12MB,,,,,actix-core,1561.919921875,264.89095306396484,2945.200881958008,519.854076385498,16.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.00017779,,0.00681,3.1769999999999996e-05,3434577.0,0.00021099999999999998,25.06MB,,,,,actix-core,1897.7418670654297,272.5714912414551,3549.839324951172,534.2758445739746,32.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.00018996,,0.0036200000000000004,2.3069999999999998e-05,4024340.0,0.00023899999999999998,29.36MB,,,,,actix-core,2121.279922485352,289.2460632324219,3947.4419555664062,564.6805229187012,64.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.00025624999999999997,,0.0058200000000000005,6.832999999999999e-05,9030058.0,0.000477,65.89MB,,,,,actix-core,2441.896514892578,305.98163986206055,4653.850128173828,599.4193496704102,128.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.00038138999999999995,,0.02094,0.00048005,13287222.0,0.00139,96.95MB,,,,,actix-core,2520.8055877685547,312.2229537963867,4797.370742797852,619.9453201293945,256.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
db,0.0007107999999999999,,0.02879,0.00063591,14041645.0,0.00183,102.46MB,,,,,actix-core,2540.0593872070312,316.7827568054199,4814.568054199219,623.5310401916504,512.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,actix-core,522.3244171142578,113.67154312133788,905.9510345458984,222.94044494628903,0.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.00266,,0.01128,0.00076131,3620459.0,0.0054,26.76MB,,,,,actix-core,2104.229476928711,286.7545280456543,3981.582321166992,561.4287071228027,1.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.01071,,0.12969999999999998,0.016980000000000002,1416830.0,0.09437999999999999,19.08MB,,,,,actix-core,2008.1561126708984,280.97745513916016,3806.74299621582,550.2737312316895,5.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.01119,,0.16146000000000002,0.00745,894978.0,0.02,18.80MB,,,,,actix-core,2084.873794555664,287.6205406188965,3965.167022705078,562.8938331604004,10.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.01585,,0.14743,0.00687,621459.0,0.02894,17.75MB,,,,,actix-core,2061.6139221191406,285.2883110046387,3912.058822631836,558.6516990661621,15.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.02022,,0.15211000000000002,0.0069299999999999995,483031.0,0.03221,17.43MB,,,,,actix-core,2062.361724853516,288.32470703125,3914.904357910156,564.1091041564941,20.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.0296,,0.15019,0.007019999999999999,327412.0,0.04487,16.77MB,,,,,actix-core,2034.032699584961,284.3336410522461,3853.132339477539,556.1176681518555,30.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
update,0.051000000000000004,,0.13009,0.0073,188671.0,0.06839,15.35MB,,,,,actix-core,1943.091781616211,279.3370666503906,3662.601165771485,546.1850624084473,50.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
query,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,actix-core,477.86328125,101.7775764465332,849.7595825195312,200.1978302001953,0.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
query,0.0007154199999999999,,0.03315,0.00066809,14013549.0,0.00197,103.58MB,,,,,actix-core,2505.6612091064453,316.4207458496094,4755.786224365234,623.8876075744629,1.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
query,0.00313,,0.02964,0.00057569,3081233.0,0.0049900000000000005,41.51MB,,,,,actix-core,2356.818069458008,295.7394676208496,4472.777038574219,576.5202865600586,5.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
query,0.00613,,0.03653,0.00077991,1569176.0,0.00948,32.97MB,,,,,actix-core,2461.1380462646484,311.2797737121582,4670.537063598633,606.2238235473633,10.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
